,average,stdev,best,worst,f_value_rank,p_value_rank,variance_rank,correlation_to_target_rank,LogisticRegression_rfe_rank_rank,XGBClassifier_rfe_rank_rank,RandomForestClassifier_rfe_rank_rank,XGBClassifier_feature_importance_rank,RandomForestClassifier_feature_importance_rank,LogisticRegression_SFS_rank_accuracy_score,XGBClassifier_SFS_rank_accuracy_score,RandomForestClassifier_SFS_rank_accuracy_score,KNeighborsClassifier_SFS_rank_accuracy_score,LogisticRegression_SBS_rank_accuracy_score,XGBClassifier_SBS_rank_accuracy_score,RandomForestClassifier_SBS_rank_accuracy_score,KNeighborsClassifier_SBS_rank_accuracy_score
SibSp,20.647058823529413,15.656233488895836,2.0,43.0,40.0,40.0,8.0,40.0,12.0,5.0,32.0,5.0,33.0,2,25,35,14,5,7,43,5
Fare^2_binned_5_target_encoded,21.294117647058822,10.342658663771811,5.0,39.0,12.0,12.0,33.0,12.0,36.0,16.0,16.0,19.0,18.0,39,15,39,5,24,16,29,21
Embarked_Q_catboost_encoded,21.647058823529413,12.051665737931149,6.0,43.0,28.0,28.0,6.0,28.0,21.0,8.0,35.0,7.0,37.0,16,38,18,43,6,20,18,11
Age*Fare_binned_5,22.823529411764707,13.464004299045135,4.0,43.0,22.0,22.0,23.0,22.0,16.0,39.0,36.0,43.0,36.0,31,4,5,9,42,25,6,7
Parch,23.235294117647058,9.457334533080038,6.0,37.0,31.0,31.0,15.0,31.0,22.0,23.0,37.0,26.0,35.0,13,19,27,16,9,19,35,6
Fare^2_binned_5_catboost_encoded,23.235294117647058,9.100339360188071,13.0,38.0,16.0,16.0,28.0,16.0,33.0,13.0,14.0,18.0,22.0,37,36,38,21,31,13,28,15
Fare^2,23.470588235294116,13.743715141196464,1.0,43.0,24.0,24.0,1.0,24.0,38.0,38.0,2.0,43.0,7.0,30,10,36,38,10,34,26,14
Embarked_S,23.705882352941178,12.403450658397208,3.0,42.0,23.0,23.0,42.0,23.0,9.0,3.0,42.0,3.0,42.0,34,30,21,15,23,33,21,16
Age^2_binned_5_catboost_encoded,24.0,10.908712114635714,3.0,39.0,39.0,39.0,22.0,39.0,32.0,19.0,33.0,24.0,29.0,18,20,3,27,22,6,10,26
Embarked_Q_woe_encoded,24.294117647058822,10.098048734052243,4.0,41.0,30.0,30.0,4.0,30.0,41.0,21.0,34.0,20.0,34.0,9,18,20,20,38,15,20,29
Embarked_S_target_encoded,24.529411764705884,9.824189833383357,10.0,43.0,27.0,27.0,36.0,27.0,10.0,12.0,18.0,17.0,23.0,35,41,23,23,21,11,23,43
Fare^2_binned_5,24.705882352941178,12.383278573758005,6.0,43.0,10.0,10.0,25.0,10.0,17.0,33.0,40.0,43.0,39.0,32,11,37,6,18,35,27,27
Embarked_S_catboost_encoded,24.941176470588236,6.0256803374732515,12.0,36.0,26.0,26.0,35.0,26.0,19.0,24.0,24.0,21.0,32.0,36,28,22,25,28,18,22,12
Embarked_S_woe_encoded,25.176470588235293,8.589494267109437,11.0,40.0,25.0,25.0,40.0,25.0,29.0,11.0,31.0,11.0,27.0,33,31,24,12,20,21,24,39
Age^2_binned_5_woe_encoded,25.764705882352942,10.808153240521168,6.0,43.0,36.0,36.0,12.0,36.0,43.0,20.0,28.0,6.0,25.0,19,33,12,36,29,23,12,32
Age^2_binned_5,26.352941176470587,11.118347316882286,8.0,43.0,34.0,34.0,20.0,34.0,23.0,34.0,39.0,43.0,40.0,26,8,10,31,17,27,9,19
Age_binned_5_target_encoded,27.0,12.649110640673518,8.0,43.0,42.0,42.0,14.0,42.0,8.0,31.0,12.0,43.0,17.0,21,29,15,41,39,30,15,18
Fare_binned_5,27.11764705882353,13.769905377948211,7.0,43.0,10.0,10.0,25.0,10.0,15.0,41.0,41.0,43.0,41.0,42,12,41,7,25,37,31,30
Fare_binned_5_target_encoded,27.823529411764707,12.620594746869337,11.0,43.0,12.0,12.0,33.0,12.0,34.0,40.0,20.0,43.0,16.0,41,16,43,11,27,39,33,41
Fare^2_binned_5_woe_encoded,28.941176470588236,8.576644071512574,14.0,40.0,14.0,14.0,30.0,14.0,39.0,26.0,26.0,28.0,31.0,40,35,40,32,33,36,30,24
Age_binned_5_catboost_encoded,29.0,8.817596044274199,14.0,43.0,39.0,39.0,22.0,39.0,31.0,32.0,25.0,43.0,24.0,20,22,14,35,34,29,14,31
Age_binned_5_woe_encoded,29.352941176470587,9.373774429696052,12.0,43.0,36.0,36.0,12.0,36.0,40.0,30.0,17.0,43.0,26.0,23,34,16,37,32,31,16,34
Fare_binned_5_woe_encoded,29.647058823529413,10.09914090696944,14.0,43.0,14.0,14.0,30.0,14.0,42.0,37.0,23.0,43.0,19.0,38,27,26,28,35,40,34,40
Embarked_Q,29.941176470588236,13.867545692349882,8.0,43.0,43.0,43.0,43.0,43.0,26.0,36.0,43.0,43.0,43.0,8,14,17,10,12,32,17,36
Age_binned_5,30.0,10.62426468043789,9.0,43.0,34.0,34.0,20.0,34.0,30.0,43.0,38.0,43.0,38.0,27,9,13,34,30,28,13,42
Fare_binned_5_catboost_encoded,31.352941176470587,9.936933483667058,16.0,43.0,16.0,16.0,28.0,16.0,35.0,42.0,29.0,43.0,28.0,43,39,42,33,36,38,32,17
